SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PROV_TERR_FR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,OPEN_DATA_URL
"BC08NE0029","PEND D'OREILLE RIVER AT WANETA","RIVIÈRE PEND D'OREILLE À WANETA","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE LOCATED AT WANETA POWER DAM. SAMPLED FROM UPSTREAM SIDE OF DAM STRUCTURE NEAR RIGHT BANK OF RIVER.","BARRAGE HYDRO-ÉLECTRIQUE DE WANETA. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LA STRUCTURE DU BARRAGE SUR LE CÔTÉ GAUCHE DE LA RIVIÈRE.","49.00461","-117.61210","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NE0029/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NE0029/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NF0001","KOOTENAY RIVER ABOVE HIGHWAY 93 IN KOOTENAY NATIONAL PARK","RIVIÈRE KOOTENAY À KOOTENAY CROSSING","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM LEFT BANK UPSTREAM OF HIGHWAY 93 BRIDGE IN KOOTENAY NATIONAL PARK. WSC STATION 08NF001.","AU PONT DE L'AUTOROUTE 93 DANS LE PARC NATIONAL KOOTENAY, C.-B.  STATION HYDROMÉTRIQUE RHC 08NF001.","50.88697","-116.04585","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NF0001/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NF0001/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NG0009","KOOTENAY RIVER NEAR FENWICK STATION","RIVIÈRE KOOTENAY PRÈS DE FENWICK STATION","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE LOCATED 12 KM DOWNSTREAM OF FORT STEELE, BC. FROM THE TOWN OF FORT STEELE, SITE IS ACCESSED DRIVING SOUTH ON WARDNER FORT STEELE ROAD UNTIL FENWICK ROAD. SITE IS AT 6.5 KM MARK DOWN FENWICK ROAD, NEAR RANCH. SAMPLED FROM LEFT BANK.","6 KM EN AVAL DE FORT STEELE, C.-B. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LA RIVE DROITE.","49.52790","-115.54918","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NG0009/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NG0009/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NG0013","KOOTENAY RIVER ABOVE BULL RIVER","RIVIÈRE KOOTENAY EN AMONT DE LA RIVIÈRE BULL","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE ACCESS OFF FENWICK ROAD, 2.3KM FROM JUNCTION WITH WARDNER FT STEELE ROAD. SITE LOCATED ABOVE CONFLUENCE WITH BULL RIVER AND KOOTENAY TROUT HATCHERY.","","49.47389","-115.48639","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTPS://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NG0013/PROJECTS/PYLTM/REGIONS/0","HTTPS://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NG0013/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NH0005","KOOTENAY RIVER ABOVE HIGHWAY 3, NEAR CRESTON","RIVIÈRE KOOTENAY À CRESTON","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM RIGHT BANK UPSTREAM OF HIGHWAY 3 BRIDGE, WEST OF CRESTON, BC.","AU PONT ROUTIER 3 À 5 KM OUEST-NORD-OUEST DE CRESTON, C.-B. ","49.11690","-116.57944","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NH0005/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NH0005/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NK0003","ELK RIVER ABOVE HIGHWAY 93","RIVIÈRE ELK À L'AUTOROUTE 93 PRÈS D'ELKO","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM LEFT BANK UPSTREAM OF HIGHWAY 93 BRIDGE, APPROXIMATELY 14 KM SW OF ELKO.","AU PONT DE L'AUTOROUTE 93 AU SUD DE ELKO, COLOMBIE-BRITANNIQUE","49.17970","-115.16702","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NK0003/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NK0003/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NK0004","ELK RIVER BELOW SPARWOOD","RIVIÈRE ELK EN AVAL DE SPARWOOD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE IS LOCATED APPROXIMATELY 7 KM SOUTH OF SPARWOOD, BC. ACCESS VIA ROAD TO GARRETT READY MIX PLANT OFF OF HWY 3. PARK AT TRAIN TRACKS AT END OF ROAD, TAKE TRAIL DOWN TO RIVER. SAMPLED FROM LEFT BANK APPROX. 200M ABOVE HWY 3 BRIDGE.   ","FIN DE L'AUTOROUTE VERS LE SITE DE L'USINE GARRETT READY MIX. SITE SITUÉ À 200 M EN AMONT DU PONT. SITE EMS: 0200102","49.66430","-114.90410","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NK0004/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NK0004/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NL0001","SIMILKAMEEN RIVER AT PRINCETON","RIVIÈRE SIMILKAMEEN À PRINCETON","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE IS LOCATED AT HIGHWAY 3 BRIDGE CROSSING IN PRINCETON, B.C. SAMPLED FROM DOWNSTREAM SIDE OF BRIDGE (WALKWAY ONLY ON D/S SIDE).","PONT DE L'AUTOROUTE 3 À PRINCETON, C.-B. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LE CÔTÉ EN AVAL DU PONT.","49.45907","-120.50393","NAD83","B.C.","C.-B.","OKANAGAN-SIMILKAMEEN","OKANAGAN-SIMILKAMEEN","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NL0001/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NL0001/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/OKANAGAN-SIMILKAMEEN-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-OKANAGAN-SIMILKAMEEN-2000-PRESENT.CSV"
"BC08NL0005","SIMILKAMEEN RIVER NEAR INTERNATIONAL BOUNDARY","RIVIÈRE SIMILKAMEEN PRÈS DE LA FRONTIÈRE INTERNATIONALE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE IS LOCATED APPROXIMATELY 9 KM NORTH OF THE U.S. BORDER AT THE CHOPAKA ROAD BRIDGE CROSSING, EXIT OFF OF HIGHWAY 3A. SAMPLED FROM UPSTREAM SIDE OF BRIDGE.","SORTIE DE L'AUTOROUTE 3A AU NIVEAU DU PONT DE CHOPAKA ROAD, 9 KM AU NORD DE LA FRONTIÈRE AMÉRICAINE. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LE CÔTÉ EN AMONT DU PONT.","49.07880","-119.70983","NAD83","B.C.","C.-B.","OKANAGAN-SIMILKAMEEN","OKANAGAN-SIMILKAMEEN","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NL0005/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NL0005/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/OKANAGAN-SIMILKAMEEN-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-OKANAGAN-SIMILKAMEEN-2000-PRESENT.CSV"
"BC08NM0001","OKANAGAN RIVER AT ROAD 18 BRIDGE, NEAR OLIVER","RIVIÈRE OKANAGAN À OLIVER","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM UPSTREAM SIDE OF THE ROAD 18 BRIDGE, APPROX. 8 KM SOUTH OF OLIVER, B.C.","PONT DE ROUTIER N° 18 JUSTE AU SUD D'OLIVER, C.-B. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LE CÔTÉ EN AMONT DU PONT.","49.11453","-119.56620","NAD83","B.C.","C.-B.","OKANAGAN-SIMILKAMEEN","OKANAGAN-SIMILKAMEEN","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NM0001/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NM0001/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/OKANAGAN-SIMILKAMEEN-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-OKANAGAN-SIMILKAMEEN-2000-PRESENT.CSV"
"BC08NM0160","MISSION CREEK AT LAKESHORE ROAD BRIDGE","RUISSEAU MISSION AU PONT DU CHEMIN LAKESHORE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED AT BRIDGE ON LAKESHORE RD IN EAST KELOWNA","","49.84290","-119.48770","NAD83","B.C.","C.-B.","OKANAGAN-SIMILKAMEEN","OKANAGAN-SIMILKAMEEN","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NM0160/PROJECTS/PYLTM/REGIONS/0","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/OKANAGAN-SIMILKAMEEN-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-OKANAGAN-SIMILKAMEEN-2000-PRESENT.CSV"
"BC08NN0011","KETTLE RIVER AT MIDWAY","RIVIÈRE KETTLE À MIDWAY","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM UPSTREAM SIDE OF FLORENCE STREET BRIDGE IN MIDWAY BC, 0.5 KM NORTH OF U.S. BORDER. WATER SURVEY STATION 08NN013.","PONT DE L'AUTOROUTE À 0,5 KM AU NORD DE LA FRONTIÈRE AMÉRICAINE. PRÉLÈVEMENTS EFFECTUÉS DEPUIS LE CÔTÉ EN AMONT DU PONT. STATION HYDROMÉTRIQUE RHC 08NN013.","49.00470","-118.77615","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NN0011/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NN0011/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC08NN0021","KETTLE RIVER AT GRAND FORKS","RIVIÈRE KETTLE AU PONT CARSON ROAD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SAMPLED FROM UPSTREAM SIDE OF SPRAGETT ROAD BRIDGE IN GRAND FORKS, BC, APPROXIMATELY 3 KM NE OF THE U.S. BORDER CROSSING AT CARSON.","5 KM AU SUD-OUEST DE GRAND FORKS PRÈS DU PASSAGE DE LA FRONTIÈRE AMÉRICAINE À CARSON.","49.01970","-118.47472","NAD83","B.C.","C.-B.","COLUMBIA","COLUMBIA","PACIFIC OCEAN","OCÉAN PACIFIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NN0021/PROJECTS/PYLTM/REGIONS/0","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC08NN0021/PROJECTS/PYLTM/REGIONS/0?NEW_LANG=FR","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/COLUMBIA-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-COLUMBIA-2000-PRESENT.CSV"
"BC10DA0002","PETITOT RIVER BELOW HIGHWAY 77","RIVIÈRE PETITOT À L'AUT. 77","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SITE LOCATED APPROXIMATELY 500M BELOW HIGHWAY 77 BRIDGE CROSSING, NEAR THE NWT BORDER. SAMPLED BY WSC FROM LEFT BANK OR GRAVEL BAR.","","59.98376","-122.92732","NAD83","B.C.","C.-B.","LOWER MACKENZIE","BAS MACKENZIE","ARCTIC OCEAN","OCÉAN ARCTIQUE","HTTP://AQUATIC.PYR.EC.GC.CA/WEBDATAONLINENATIONAL/EN/MEASUREMENTS/CHOOSEVARIABLES/SITES/BC10DA0002/PROJECTS/PYLTM/REGIONS/0","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/LOWER-MACKENZIE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA-CANADA-S-NORTH/WATER-QUAL-EAU-MACKENZIE-2000-PRESENT.CSV"
"MA05KH0001","SASKATCHEWAN RIVER ABOVE CARROT RIVER","RIVIÈRE SASKATCHEWAN EN AMONT DE LA RIVIÈRE CARROT","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","53.8417","-101.3342","NAD27","MAN.","MAN.",LOWER SASKATCHEWAN - NELSON,BAS SASKATCHEWAN-NELSON,"HUDSON BAY","BAIE D'HUDSON","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/LOWER-SASKATCHEWAN-NELSON-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-SASKATCHEWAN-NELSON-2000-PRESENT.CSV"
"MA05OB0001","PEMBINA RIVER AT WINDYGATES, MANITOBA","RIVIÈRE PEMBINA À WINDY GATES","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","49.0314","-98.2778","NAD27","MAN.","MAN.",ASSINIBOINE-RED,ASSINIBOINE-ROUGE,"HUDSON BAY","BAIE D'HUDSON","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/ASSINIBOINE-RED-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ASSINIBOINE-RED-2000-PRESENT.CSV"
"MA05OC0001","RED RIVER AT EMERSON, MANITOBA","RIVIÈRE ROUGE À EMERSON","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","49.0081","-97.2106","NAD27","MAN.","MAN.",ASSINIBOINE-RED,ASSINIBOINE-ROUGE,"HUDSON BAY","BAIE D'HUDSON","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/ASSINIBOINE-RED-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ASSINIBOINE-RED-2000-PRESENT.CSV"
"MA05PF0022","WINNIPEG RIVER AT POINTE DU BOIS,","RIVIÈRE WINNIPEG À POINTE DU BOIS","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","50.3006","-95.5556","NAD27","MAN.","MAN.",WINNIPEG,WINNIPEG,"HUDSON BAY","BAIE D'HUDSON","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WINNIPEG-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-WINNIPEG-2000-PRESENT.CSV"
"NB01AJ0008","PRESQU'ÎLE RIVER AT TRACEY MILLS ABOVE OLD DAM","RIVIÈRE BIG PRESQU'ÎLE À TRACEY MILLS AU-DESSUS DE L'ANCIEN BARRAGE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","PRESQU'ÎLE RIVER AT TRACEY MILLS ABOVE OLD DAM (WATER SURVEY OF CANADA GAUGE), CARLETON COUNTY","RIVIÈRE BIG PRESQU'ÎLE À TRACEY MILLS AU-DESSUS DE L'ANCIEN BARRAGE (JAUGE DE LA DIVISION DES RELEVÉS HYDROLOGIQUES DU CANADA), COMTÉ DE CARLETON","46.4394","-67.7444","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"NB01AJ0126","MEDUXNEKEAG RIVER AT NEW WSC GAUGE LOCATION","RIVIÈRE MEDUXKEAG AU NIVEAU DE L'EMPLACEMENT DE LA NOUVELLE JAUGE DE LA DHRC","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","THE SITE IS LOCATED A FEW KM FURTHER UPSTREAM ON ROUTE 540 WELL OFF THE ROAD AND LOCATED AT THE EDGE OF A FARMER'S FIELD. THERE IS ONE ENTRANCE TO THE FIELD AT THE BOTTOM OF THE HILL. THERE IS A WIRE FENCE AND A GATE. AT NEW WATER SURVEY OF CANADA GAUGE LOCATION.","LE SITE EST LOCALISÉ QUELQUES KM PLUS LOIN EN AMONT SUR LA ROUTE 540 BIEN EN DEHORS DE LA ROUTE ET EST LOCALISÉ À LA BORDURE DU CHAMP D'UN FERMIER. IL Y A UNE ENTRÉE AU CHAMP AU BAS DE LA CÔTE. IL Y A UNE CLÔTURE EN BROCHE ET UNE PORTE. AU NIVEAU DE L'EMPLACEMENT DE LA NOUVELLE JAUGE DE LA DIVISION DES RELEVÉS HYDROLOGIQUES DU CANADA.","46.216","-67.728","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"NB01AR0021","ST. CROIX RIVER AT MILLTOWN CANADIAN SIDE","RIVIÈRE SAINTE-CROIX, À MILLTOWN, SUR LA RIVE CANADIENNE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","ST. CROIX RIVER AT MILLTOWN CANADIAN SIDE, NEW BRUNSWICK","RIVIÈRE SAINTE-CROIX, À MILLTOWN, SUR LA RIVE CANADIENNE, AU NOUVEAU-BRUNSWICK","45.1686","-67.3006","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"NB01AR0151","FOREST CITY, MAINE","FOREST CITY, MAINE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","100 M BELOW DAM","À 100 M EN DESSOUS DU BARRAGE","45.6641","-67.7336","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
